year,investments+
2047,cash value: 1661408.3342887922,S&P 500 non-retirement value: 391548.82272788323,tax-exempt bonds value: 6882.0036653820425,S&P 500 pre-tax value: 36411.226530967164,S&P 500 after-tax value: 7141.828246948354
2048,cash value: 1749501.4708005968,S&P 500 non-retirement value: 412130.6623219057,tax-exempt bonds value: 7365.968229823668,S&P 500 pre-tax value: 38274.77258686506,S&P 500 after-tax value: 7647.91439151494
2049,cash value: 1839019.2185328421,S&P 500 non-retirement value: 449533.8210992957,tax-exempt bonds value: 7684.742977021469,S&P 500 pre-tax value: 40032.66788770562,S&P 500 after-tax value: 8319.880920053316
2050,cash value: 1928883.5974640823,S&P 500 non-retirement value: 477211.04711791367,tax-exempt bonds value: 8190.816596844661,S&P 500 pre-tax value: 43030.36410195058,S&P 500 after-tax value: 8845.4417692611
2051,cash value: 2019637.3654586305,S&P 500 non-retirement value: 499139.7089511688,tax-exempt bonds value: 8606.423602813598,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 9439.338231527656
2052,cash value: 2105505.0481057973,S&P 500 non-retirement value: 528368.5879550161,tax-exempt bonds value: 8847.5162027735,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 10026.945332380388
2053,cash value: 2191938.439118081,S&P 500 non-retirement value: 567268.3344040783,tax-exempt bonds value: 9584.404568376,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 10569.093697670929
2054,cash value: 2278665.8934056736,S&P 500 non-retirement value: 604880.0016648972,tax-exempt bonds value: 10366.24469110461,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 10986.86482773043
2055,cash value: 2365182.8943189215,S&P 500 non-retirement value: 641115.361327693,tax-exempt bonds value: 11057.854022364145,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 11681.715539139444
2056,cash value: 2451847.8833251134,S&P 500 non-retirement value: 668051.6154906874,tax-exempt bonds value: 11909.196868325065,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 12271.656114825884
2057,cash value: 2539360.0794492294,S&P 500 non-retirement value: 692956.5955072785,tax-exempt bonds value: 13071.306184381338,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 13569.13056939629
2058,cash value: 2626489.2878593747,S&P 500 non-retirement value: 693577.4497838222,tax-exempt bonds value: 13580.030426309586,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 14163.67927284322
2059,cash value: 2713253.6969400304,S&P 500 non-retirement value: 741177.8131723893,tax-exempt bonds value: 14194.859276836018,S&P 500 pre-tax value: 0,S&P 500 after-tax value: 15057.163671979164
